gene	linb	nSNP
ENSG00000261456_TUBB8	0.7115537584104987	12
ENSG00000151240_DIP2C	0.7723668673214166	2
ENSG00000107929_LARP4B	0.16201903711257093	4
ENSG00000148377_IDI2	0.48340585147735515	8
ENSG00000067064_IDI1	0.6602498826030274	4
ENSG00000047056_WDR37	0.987838090781082	3
ENSG00000185736_ADARB2	0.12853337116961905	3
ENSG00000067057_PFKP	0.42923838072801646	27
ENSG00000107959_PITRM1	0.6650127713578465	20
ENSG00000165568_AKR1E2	0.9660736477697531	14
ENSG00000187134_AKR1C1	0.23106605499277377	15
ENSG00000151632_AKR1C2	0.9100143672214578	10
ENSG00000196139_AKR1C3	0.5660638334591324	19
ENSG00000198610_AKR1C4	0.4671405940417829	10
ENSG00000178473_UCN3	0.5367611266866907	1
ENSG00000178462_TUBAL3	0.2697782512034522	3
ENSG00000173848_NET1	0.737500303217935	8
ENSG00000178363_CALML3	0.62075308538466	1
ENSG00000196372_ASB13	0.19697871841449577	10
ENSG00000108021_TASOR2	0.44188279864495894	18
ENSG00000057608_GDI2	0.000897875002947246	2
ENSG00000134461_ANKRD16	0.31440264083608227	10
ENSG00000134452_FBH1	0.08978953958438751	6
ENSG00000134470_IL15RA	0.18879991454039358	3
ENSG00000134460_IL2RA	0.5233737269172877	2
ENSG00000134453_RBM17	0.49036332404355176	2
ENSG00000170525_PFKFB3	0.3910880646585265	3
ENSG00000065675_PRKCQ	0.15540149220804955	7
ENSG00000198879_SFMBT2	0.7571328878654822	6
ENSG00000123243_ITIH5	0.7579561259205205	15
ENSG00000151655_ITIH2	0.02122436648878967	18
ENSG00000151657_KIN	0.10743862085122857	11
ENSG00000165629_ATP5F1C	0.38574200164927663	3
ENSG00000048740_CELF2	0.2768277791170699	5
ENSG00000148429_USP6NL	0.9418533779060363	10
ENSG00000134463_ECHDC3	0.7680923675369655	5
ENSG00000148426_PROSER2	0.02529736923060366	10
ENSG00000151461_UPF2	0.5994109469562295	1
ENSG00000181192_DHTKD1	0.0020302207213622747	20
ENSG00000065665_SEC61A2	0.316838341581242	6
ENSG00000165609_NUDT5	0.2337681021676956	8
ENSG00000151465_CDC123	0.17605462544736317	3
ENSG00000183049_CAMK1D	0.6015880927886204	1
ENSG00000151468_CCDC3	0.26431310111114414	4
ENSG00000123240_OPTN	0.7836447670945736	8
ENSG00000065328_MCM10	0.13652045211735553	15
ENSG00000165623_UCMA	0.742045459203028	6
ENSG00000107537_PHYH	0.6709494109786213	13
ENSG00000086475_SEPHS1	0.6908833799555084	2
ENSG00000165626_BEND7	0.8556485422163982	4
ENSG00000165630_PRPF18	0.8087928373506912	2
ENSG00000282246_AL157392.5	0.516318526894793	2
ENSG00000151474_FRMD4A	0.9089856201935143	11
ENSG00000065809_FAM107B	0.036592678744151064	9
ENSG00000185267_CDNF	0.2861230837427795	5
ENSG00000284024_HSPA14	0.39876783729131526	6
ENSG00000187522_HSPA14	0.2607542222005528	6
ENSG00000152455_SUV39H2	0.06416651546309327	1
