gene	linb	nSNP
ENSG00000130538_OR11H1	0.036916624806708764	7
ENSG00000198062_POTEH	0.17662432789460525	15
ENSG00000198445_CCT8L2	0.9157823667173528	8
ENSG00000172967_XKR3	0.8468482175589553	6
ENSG00000215568_GAB4	0.7935966545537001	7
ENSG00000177663_IL17RA	0.5590671333514405	7
ENSG00000183307_TMEM121B	0.1031277530687662	2
ENSG00000069998_HDHD5	0.6410609347750719	5
ENSG00000093072_ADA2	0.4193650544408378	11
ENSG00000099954_CECR2	0.4959109872019324	4
ENSG00000182902_SLC25A18	0.5209789513923957	7
ENSG00000131100_ATP6V1E1	0.7926023857652289	2
ENSG00000099968_BCL2L13	0.754475726371899	8
ENSG00000015475_BID	0.3298830050330279	7
ENSG00000243156_MICAL3	0.6750129980362365	14
ENSG00000215193_PEX26	0.2734240616114527	6
ENSG00000183785_TUBA8	0.5330389348550686	3
ENSG00000184979_USP18	0.11234100022357907	5
ENSG00000278558_TMEM191B	0.09293241243879202	15
ENSG00000275793_RIMBP3	0.6491933053210872	26
ENSG00000100033_PRODH	1.0	1
ENSG00000070413_DGCR2	0.21420258247571855	3
ENSG00000100056_ESS2	0.5175218870389044	2
ENSG00000206203_TSSK2	0.796275792954583	3
ENSG00000063515_GSC2	0.37455636207650855	4
ENSG00000100075_SLC25A1	0.2606827431209089	6
ENSG00000070371_CLTCL1	0.7576910378443196	25
ENSG00000100084_HIRA	0.0627497314551394	3
ENSG00000242259_C22orf39	0.10226068572186842	5
ENSG00000185608_MRPL40	0.7960904753455611	3
ENSG00000070010_UFD1	0.3721562707539925	2
ENSG00000093009_CDC45	0.6739430981817995	5
ENSG00000184113_CLDN5	0.052802861253027356	2
ENSG00000184702_SEPT5	0.3234315986852787	7
ENSG00000284874_AC000093.1	0.3329423687801072	4
ENSG00000203618_GP1BB	0.616980217891513	3
ENSG00000184058_TBX1	0.3010334677758695	1
ENSG00000185838_GNB1L	0.3211839060903431	8
ENSG00000215012_RTL10	0.5199010097434201	6
ENSG00000184470_TXNRD2	0.1587907042130019	18
ENSG00000093010_COMT	0.87195646893153	8
ENSG00000099889_ARVCF	0.54032946750674	11
ENSG00000183597_TANGO2	0.2691626942555033	10
ENSG00000128191_DGCR8	0.08445786116992238	2
ENSG00000099899_TRMT2A	0.15486877700557877	15
ENSG00000099901_RANBP1	0.45547907657515485	8
ENSG00000099904_ZDHHC8	0.07000523361863364	4
ENSG00000234409_CCDC188	0.9426846737209271	10
ENSG00000040608_RTN4R	0.5415801633653513	1
ENSG00000128185_DGCR6L	0.5469924077689501	10
ENSG00000161133_USP41	0.3666529293345525	10
ENSG00000185252_ZNF74	0.04539625702735084	9
ENSG00000244486_SCARF2	0.7265663365918564	2
ENSG00000099910_KLHL22	0.9879615750301872	6
ENSG00000099917_MED15	0.11959301676295175	6
ENSG00000241973_PI4KA	0.5189976557403833	18
ENSG00000099937_SERPIND1	0.37478430424112974	4
ENSG00000099940_SNAP29	0.4099825503192557	4
ENSG00000099942_CRKL	0.5456374820816928	1
ENSG00000183773_AIFM3	0.5002456593275435	18
ENSG00000099949_LZTR1	0.3232114612472814	46
ENSG00000184436_THAP7	0.499462680759605	3
ENSG00000099957_P2RX6	0.39040362536295115	14
ENSG00000099960_SLC7A4	0.7809230094953982	6
ENSG00000133475_GGT2	0.38239960253249394	4
ENSG00000274600_RIMBP3B	0.1646786671101621	2
ENSG00000169635_HIC2	0.8133419245166882	1
ENSG00000206140_TMEM191C	0.28908094420054353	12
ENSG00000161179_YDJC	0.8198121787324415	8
ENSG00000161180_CCDC116	0.7542521460019942	10
ENSG00000128228_SDF2L1	0.6957617418591404	4
ENSG00000100023_PPIL2	0.7821940767715834	7
ENSG00000100027_YPEL1	0.056488847555794974	3
ENSG00000100030_MAPK1	0.4246984896341004	1
ENSG00000100034_PPM1F	0.8091155329154582	6
ENSG00000100038_TOP3B	0.357426748921414	9
ENSG00000169575_VPREB1	0.34513716827263585	2
ENSG00000275004_ZNF280B	0.7493230259648866	2
ENSG00000169548_ZNF280A	0.6445889247290457	4
ENSG00000185686_PRAME	0.7224042952802511	2
ENSG00000100121_GGTLC2	0.4770769389268439	3
ENSG00000254709_IGLL5	0.6904984281909841	5
ENSG00000100218_RSPH14	0.16436038116229856	8
ENSG00000100228_RAB36	0.6316895368463731	12
ENSG00000186716_BCR	0.6274861342969867	3
ENSG00000128322_IGLL1	0.17968419129225033	2
ENSG00000189269_DRICH1	0.9036013781588461	9
ENSG00000159496_RGL4	0.149946931596037	7
ENSG00000187792_ZNF70	0.2814553430119775	7
ENSG00000128218_VPREB3	0.7725409848177005	7
ENSG00000169314_C22orf15	0.25185491943381255	6
ENSG00000250479_CHCHD10	0.046759952761711965	6
ENSG00000099953_MMP11	0.2851615995061937	7
ENSG00000099956_SMARCB1	0.6184777810522134	1
ENSG00000099958_DERL3	0.19193065064590198	3
ENSG00000133460_SLC2A11	0.49707041465357005	10
ENSG00000251357_AP000350.4	0.34337013807094485	4
ENSG00000240972_MIF	0.4383459304347179	5
ENSG00000133433_GSTT2B	0.22559902047523295	3
ENSG00000099977_DDT	0.8631176777296611	2
ENSG00000285762_AC253536.7	0.8631176777296611	2
ENSG00000099991_CABIN1	0.9373378318421874	20
ENSG00000099994_SUSD2	0.46708301375784067	15
ENSG00000099998_GGT5	0.16769305942743618	9
ENSG00000100014_SPECC1L	0.8470990181916782	4
ENSG00000258555_SPECC1L-ADORA2A	0.8470990181916782	4
ENSG00000128271_ADORA2A	0.14753284549754675	2
ENSG00000100024_UPB1	0.22007258519667416	8
ENSG00000138867_GUCD1	0.8779128459156333	5
ENSG00000286070_GGT1	0.8251892390170321	5
ENSG00000178026_LRRC75B	0.8344229807096287	7
ENSG00000100031_GGT1	0.9089114884216785	7
ENSG00000184571_PIWIL3	0.15822540525179063	18
ENSG00000167037_SGSM1	0.5199427993079339	8
ENSG00000197077_KIAA1671	0.03324774669631436	4
ENSG00000100053_CRYBB3	0.5900689241861967	13
ENSG00000244752_CRYBB2	0.5900673063826987	4
ENSG00000100068_LRP5L	0.045671884474991264	6
ENSG00000100077_GRK3	0.6515751005865983	6
ENSG00000133454_MYO18B	0.7270383383131819	39
ENSG00000100095_SEZ6L	0.05715499338632868	4
ENSG00000128203_ASPHD2	0.341721009513301	3
ENSG00000100099_HPS4	0.17304781547688886	9
ENSG00000100104_SRRD	0.2774148784008681	4
ENSG00000100109_TFIP11	0.5745784124612245	13
ENSG00000128294_TPST2	0.4625808010178929	3
ENSG00000100122_CRYBB1	0.30281594183984883	4
ENSG00000196431_CRYBA4	0.4977965973114695	8
ENSG00000169184_MN1	0.2327271454786679	1
ENSG00000180957_PITPNB	0.4445876783176286	3
ENSG00000100154_TTC28	0.09722630713584546	8
ENSG00000183765_CHEK2	0.18378346937273982	18
ENSG00000100209_HSCB	0.6286850017039363	2
ENSG00000100219_XBP1	0.5967243452109385	6
ENSG00000183579_ZNRF3	0.27602892416258873	3
ENSG00000100249_C22orf31	0.8231393813162182	5
ENSG00000183762_KREMEN1	0.07195828493792666	6
ENSG00000186998_EMID1	0.34197495608874784	6
ENSG00000100263_RHBDD3	0.512409704979452	4
ENSG00000182944_EWSR1	0.1456703363198818	2
ENSG00000185340_GAS2L1	0.7789615274198014	5
ENSG00000100276_RASL10A	0.42436598308505435	2
ENSG00000100280_AP1B1	0.46523897128008906	4
ENSG00000128250_RFPL1	0.08732106883044177	7
ENSG00000100285_NEFH	0.41486030220969305	7
ENSG00000100296_THOC5	0.36677015393913714	12
ENSG00000184117_NIPSNAP1	0.36278572848065227	4
ENSG00000186575_NF2	0.5107219038726845	6
ENSG00000100314_CABP7	0.11624246115862902	2
ENSG00000100319_ZMAT5	0.532203696861567	8
ENSG00000184076_UQCR10	0.308417831661422	3
ENSG00000100325_ASCC2	0.9040746123541297	7
ENSG00000100330_MTMR3	0.3316322573284849	6
ENSG00000176635_HORMAD2	0.8089224184669364	10
ENSG00000128342_LIF	0.7585647126848389	5
ENSG00000099985_OSM	0.24931091415237727	2
ENSG00000239282_CASTOR1	0.1751135986045902	3
ENSG00000248751_AC004997.1	0.3267505189577905	4
ENSG00000099992_TBC1D10A	0.2800376354332881	2
ENSG00000099995_SF3A1	0.43263419732866626	2
ENSG00000187860_CCDC157	0.6436021443837868	20
ENSG00000099999_RNF215	0.6096412232177388	6
ENSG00000100003_SEC14L2	0.5674463241438384	6
ENSG00000249590_AC004832.3	0.8835970422553668	7
ENSG00000242114_MTFP1	0.5191591563145941	4
ENSG00000100012_SEC14L3	0.21289392417431308	16
ENSG00000133488_SEC14L4	0.7424706985368607	13
ENSG00000214491_SEC14L6	0.0043868121708458	7
ENSG00000100029_PES1	0.3294375368317429	9
ENSG00000185339_TCN2	0.3816013012742716	6
ENSG00000100036_SLC35E4	0.455271835471722	2
ENSG00000167065_DUSP18	0.2912889787571975	4
ENSG00000184792_OSBP2	0.0004951418748216918	10
ENSG00000133422_MORC2	0.12139230211622931	3
ENSG00000183963_SMTN	0.08508107768326045	15
ENSG00000198832_SELENOM	0.6021134220995396	3
ENSG00000185133_INPP5J	0.4659256079255141	12
ENSG00000100078_PLA2G3	0.09097768337978418	7
ENSG00000138942_RNF185	0.2420050689552471	2
ENSG00000182541_LIMK2	0.8030992202052447	11
ENSG00000100100_PIK3IP1	0.13359915817483725	3
ENSG00000100105_PATZ1	0.08507235156704074	3
ENSG00000185721_DRG1	0.8843904147415763	5
ENSG00000184708_EIF4ENIF1	0.4539709062207469	2
ENSG00000198089_SFI1	0.879165809530075	35
ENSG00000241878_PISD	0.7099607252341649	12
ENSG00000183530_PRR14L	0.962572427364581	7
ENSG00000100150_DEPDC5	0.8308175010953551	21
ENSG00000285404_Z82190.2	0.29763151561912427	3
ENSG00000128245_YWHAH	0.2759170710478249	3
ENSG00000100170_SLC5A1	0.7960867656016679	9
ENSG00000205856_C22orf42	0.22500853666539644	5
ENSG00000128253_RFPL2	0.5195430124755427	7
ENSG00000100191_SLC5A4	0.6702660980373288	12
ENSG00000128276_RFPL3	0.01589312184672187	3
ENSG00000100220_RTCB	0.47716466191248874	1
ENSG00000184459_BPIFC	0.26871330156617446	6
ENSG00000100225_FBXO7	0.9250435708136278	8
ENSG00000185666_SYN3	0.5180533275240058	3
ENSG00000100234_TIMP3	0.6540200518137185	1
ENSG00000133424_LARGE1	0.3780474804627795	5
ENSG00000175329_ISX	0.8741226693795434	5
ENSG00000100281_HMGXB4	0.8222373057321415	2
ENSG00000100284_TOM1	0.41048029435279965	11
ENSG00000100292_HMOX1	0.18750584514749047	2
ENSG00000100297_MCM5	0.5516717448476054	9
ENSG00000100302_RASD2	0.18547577262611803	1
ENSG00000198125_MB	0.642812244045281	5
ENSG00000221963_APOL6	0.0012788275466559806	2
ENSG00000128313_APOL5	0.639916290403771	10
ENSG00000100320_RBFOX2	0.32536051364687535	5
ENSG00000128284_APOL3	0.6398413655768977	7
ENSG00000100336_APOL4	0.6760641101608544	11
ENSG00000128335_APOL2	0.7287711394360947	10
ENSG00000100342_APOL1	0.48297095061032014	7
ENSG00000100345_MYH9	0.6651309704619202	5
ENSG00000100348_TXN2	0.9142598380966995	4
ENSG00000100350_FOXRED2	0.15086447493184052	9
ENSG00000100353_EIF3D	0.006086844516435486	1
ENSG00000100360_IFT27	0.6255546120643126	5
ENSG00000100362_PVALB	0.880181592553031	1
ENSG00000100365_NCF4	0.5361384611796727	6
ENSG00000100368_CSF2RB	0.09365473186744189	5
ENSG00000185264_TEX33	0.4448621377249513	10
ENSG00000128311_TST	0.38645223326387224	4
ENSG00000128309_MPST	0.8191505849131072	4
ENSG00000100379_KCTD17	0.024733345137366913	2
ENSG00000187045_TMPRSS6	0.013246283188488639	13
ENSG00000100385_IL2RB	0.3307161915274377	2
ENSG00000133466_C1QTNF6	0.8374240781199056	2
ENSG00000278195_SSTR3	0.5441909499423643	4
ENSG00000128340_RAC2	0.16222470423079516	2
ENSG00000100055_CYTH4	0.568985719534701	3
ENSG00000166897_ELFN2	0.9476333053720278	1
ENSG00000100060_MFNG	0.50375492769373	12
ENSG00000100065_CARD10	0.09866292851085978	11
ENSG00000128283_CDC42EP1	0.15701788332760847	4
ENSG00000100079_LGALS2	0.03482150344297019	2
ENSG00000100083_GGA1	0.1649409622518192	7
ENSG00000100092_SH3BP1	0.9169220128047377	7
ENSG00000285304_Z83844.3	0.09633822903627087	4
ENSG00000241360_PDXP	0.09766028654833425	4
ENSG00000100097_LGALS1	0.44499438452343787	2
ENSG00000273899_NOL12	0.9085500993084028	3
