gene	linb	nSNP
ENSG00000198033_TUBA3C	0.5013406836198909	8
ENSG00000132958_TPTE2	0.9177796607553547	15
ENSG00000196199_MPHOSPH8	0.13295618633230588	10
ENSG00000121390_PSPC1	0.11139977327054518	3
ENSG00000132950_ZMYM5	0.8384699424294682	8
ENSG00000121741_ZMYM2	0.6316425400581283	6
ENSG00000121743_GJA3	0.5916403776529221	1
ENSG00000165474_GJB2	0.02413403935354652	11
ENSG00000121742_GJB6	0.39196658454185307	5
ENSG00000165475_CRYL1	0.2056968297109817	10
ENSG00000032742_IFT88	0.13949919919126508	14
ENSG00000172458_IL17D	0.5502219338517174	3
ENSG00000150456_EEF1AKMT1	0.17292750668591772	3
ENSG00000132953_XPO4	0.9191635773561221	3
ENSG00000150457_LATS2	0.09873055812263432	2
ENSG00000150459_SAP18	0.7977215884039635	5
ENSG00000165480_SKA3	0.920415750160178	11
ENSG00000173141_MRPL57	0.6547211261745942	2
ENSG00000180776_ZDHHC20	0.14809636350720068	8
ENSG00000165487_MICU2	0.4861118135870681	12
ENSG00000102678_FGF9	0.31347674094560696	1
ENSG00000102683_SGCG	0.7152056669013926	1
ENSG00000151835_SACS	0.9482116217787829	30
ENSG00000127863_TNFRSF19	0.03579706697002105	3
ENSG00000027001_MIPEP	0.1951703794382076	15
ENSG00000205863_C1QTNF9B	0.03190540398181918	9
ENSG00000273167_AL359736.1	0.48775962283858654	6
ENSG00000182957_SPATA13	0.12043956156081081	9
ENSG00000240654_C1QTNF9	0.14337413018219758	9
ENSG00000102699_PARP4	0.2616926680687953	25
ENSG00000075673_ATP12A	0.8758289444176441	17
ENSG00000132972_RNF17	0.1528320688286302	5
ENSG00000151849_CENPJ	0.13941446166365656	28
ENSG00000151846_PABPC3	0.285052190246771	8
ENSG00000165566_AMER2	0.6880319737807202	1
ENSG00000139505_MTMR6	0.31909969337280386	5
ENSG00000139496_NUP58	0.8574107730244177	3
ENSG00000132932_ATP8A2	0.16110014987678478	13
ENSG00000180730_SHISA2	0.3231160925354286	2
ENSG00000127870_RNF6	2.0	5
ENSG00000132964_CDK8	0.5423147739163585	2
ENSG00000132975_GPR12	0.21533319439640075	1
ENSG00000152484_USP12	0.3299369034518427	5
ENSG00000122035_RASL11A	0.1393195550626518	2
ENSG00000122034_GTF3A	0.2807420823549883	7
ENSG00000122033_MTIF3	0.06407703245065277	4
ENSG00000139517_LNX2	0.9149555139924143	3
ENSG00000186184_POLR1D	0.4630572756319643	2
ENSG00000139515_PDX1	0.42754610566916296	2
ENSG00000183463_URAD	0.3361395482466929	2
ENSG00000122025_FLT3	0.786681275733708	8
ENSG00000152520_PAN3	0.9749859984331909	1
ENSG00000102755_FLT1	0.12405375543131836	14
ENSG00000139508_SLC46A3	0.46387295095698167	6
ENSG00000132938_MTUS2	0.008489801018312648	5
ENSG00000139514_SLC7A1	0.2334481198857017	1
ENSG00000102781_KATNAL1	0.6362585905597833	4
ENSG00000189403_HMGB1	0.5789080913095077	1
ENSG00000132952_USPL1	0.543295646018167	6
ENSG00000132965_ALOX5AP	0.21042347667767314	6
